epoch,train_loss,val_loss
1,0.2128625363111496,0.08493299782276154
2,0.012019215151667595,0.06380343437194824
3,0.006605622358620167,0.05393563583493233
4,0.004333626013249159,0.04425792396068573
5,0.0030384589917957783,0.036073002964258194
6,0.002217884873971343,0.031603146344423294
7,0.0016178702935576439,0.027792025357484818
8,0.0012303293915465474,0.023944266140460968
9,0.0009976860601454973,0.020905103534460068
10,0.0008119426784105599,0.018266255035996437
11,0.0006815939559601247,0.017242174595594406
12,0.0005815585027448833,0.016001857817173004
13,0.0005128337070345879,0.013663697987794876
14,0.0004533849423751235,0.01297763828188181
15,0.0004003428330179304,0.012562429532408714
16,0.00037580469506792724,0.010995487682521343
17,0.0003306297294329852,0.010302833281457424
18,0.000300587504170835,0.009885522536933422
19,0.00027627922827377915,0.009696342051029205
20,0.0002564124297350645,0.009070595726370811
