epoch,train_loss,val_loss
1,0.1436384618282318,0.002681619953364134
2,0.0008537918329238892,0.0003229712601751089
3,0.0002189778897445649,0.0002254138671560213
4,0.0001571637694723904,0.00019004875503014773
5,0.00013021728955209255,0.00016825526836328208
6,0.00011093660577898845,0.0001380781177431345
7,9.674832108430564e-05,0.00014927472511772066
8,7.060727511998266e-05,9.081271127797663e-05
9,6.292738544289023e-05,9.238583879778162e-05
10,5.746821261709556e-05,9.64403516263701e-05
11,5.0575843488331884e-05,8.613237150711939e-05
12,6.236252374947071e-05,0.00010346037743147463
13,6.018248313921504e-05,0.0001043176234816201
14,5.7536279200576246e-05,8.861051173880696e-05
15,5.571954170591198e-05,9.364074503537267e-05
16,5.483861968968995e-05,8.085989975370467e-05
17,5.251692346064374e-05,0.00010191075125476345
18,4.996509233023971e-05,9.695668995846063e-05
19,4.9978199967881665e-05,8.264632924692705e-05
20,4.970070585841313e-05,9.650786523707211e-05
